"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","查询支付状态功能","查询支付验证码场景","1","0","0","0","0"
"","获取银行卡列表功能","正常获取场景","1","0","0","0","0"
"","支付验证码发送功能","正常发送场景","1","0","0","0","0"
"","登录功能","正常登录场景","0","0","1","0","0"
"","支付验证码验证功能","支付验证码验证场景","1","0","0","0","0"
"","获取公司信息功能","获取公司信息验证场景","0","0","1","0","0"
"","发布岗位信息功能","发布标准极速岗场景","1","0","0","0","0"
"","退出功能","正常退出场景","0","0","1","0","0"
"","注册功能","用户注册正常","0","0","1","0","0"
"","银联卡充值功能","正常充值场景","1","0","0","0","0"
